#EventID,Time,month,Latitude,Longitude,DepthInKm,Author,MagType,mag_range,Magnitude,EventLocationName,EventType
29283251,2021-12-23T20:34:09.880000,2021-12,37.4753,14.9087,10,BULLETIN-INGV,ML,'2-3,2.4,7 km SW Motta Sant'Anastasia (CT),earthquake
29283321,2021-12-23T20:36:53.510000,2021-12,37.4765,14.9143,10.3,BULLETIN-INGV,ML,'2-3,2.9,6 km SW Motta Sant'Anastasia (CT),earthquake
29283411,2021-12-23T20:38:40.310000,2021-12,37.4807,14.9137,19.4,BULLETIN-INGV,ML,'3-4,3.3,6 km SW Motta Sant'Anastasia (CT),earthquake
29283481,2021-12-23T20:40:50.680000,2021-12,37.4743,14.9198,9.9,BULLETIN-INGV,ML,'2-3,2.4,6 km SW Motta Sant'Anastasia (CT),earthquake
29283891,2021-12-23T21:01:50.600000,2021-12,37.4732,14.9202,10.5,BULLETIN-INGV,ML,'2-3,2.8,6 km SW Motta Sant'Anastasia (CT),earthquake
29284151,2021-12-23T21:21:43.070000,2021-12,42.3842,13.2715,8.5,BULLETIN-INGV,ML,'2-3,2,2 km NE Scoppito (AQ),earthquake
29284471,2021-12-23T21:33:45.490000,2021-12,37.4798,14.9157,19.1,BULLETIN-INGV,Mw,'4-5,4.3,6 km SW Motta Sant'Anastasia (CT),earthquake
29284541,2021-12-23T21:36:28.070000,2021-12,37.4667,14.9292,10.2,BULLETIN-INGV,ML,'2-3,2.7,6 km SW Motta Sant'Anastasia (CT),earthquake
29284581,2021-12-23T21:36:44.470000,2021-12,37.4772,14.9213,8.5,BULLETIN-INGV,ML,'2-3,2.6,6 km SW Motta Sant'Anastasia (CT),earthquake
29284921,2021-12-23T21:44:37.100000,2021-12,37.4832,14.9172,9.8,BULLETIN-INGV,ML,'2-3,2.2,6 km SW Motta Sant'Anastasia (CT),earthquake
29285021,2021-12-23T21:48:47.840000,2021-12,37.4907,14.928,10.7,BULLETIN-INGV,ML,'2-3,2.8,5 km SW Motta Sant'Anastasia (CT),earthquake
29285341,2021-12-23T21:56:03.050000,2021-12,37.4768,14.9152,10,BULLETIN-INGV,ML,'2-3,2.6,6 km SW Motta Sant'Anastasia (CT),earthquake
29285461,2021-12-23T21:58:09.660000,2021-12,37.4752,14.9258,9.8,BULLETIN-INGV,ML,'2-3,2.3,6 km SW Motta Sant'Anastasia (CT),earthquake
29285981,2021-12-23T22:10:32.320000,2021-12,37.4692,14.9258,10.1,BULLETIN-INGV,ML,'2-3,2.2,6 km SW Motta Sant'Anastasia (CT),earthquake
29286221,2021-12-23T22:21:34.560000,2021-12,37.463,14.9052,9.8,BULLETIN-INGV,ML,'2-3,2.8,8 km SW Motta Sant'Anastasia (CT),earthquake
29286281,2021-12-23T22:22:47.800000,2021-12,37.4653,14.9105,10,BULLETIN-INGV,ML,'2-3,2.1,8 km SW Motta Sant'Anastasia (CT),earthquake
